from_location,to_location,approx_date,mode_of_transport,reason,transcript,source_lat,source_lon,target_lat,target_lon
"East Side, New York, United States","Williamsburg, Brooklyn, New York, United States",1952,Unknown,Moved after marriage.,37605.txt,43.5658627,-73.8747168,40.714622,-73.95345
"Williamsburg, Brooklyn, New York, United States","Borough Park, Brooklyn, New York, United States",Approximately 1960s,Unknown,Moved to a quieter neighborhood.,37605.txt,40.714622,-73.95345,40.633993,-73.9968059
"Frankfurt am Main, Germany","Bonneville, France",May or June 1933,Train,"Left Germany after Hitler's rise to power, stayed temporarily with a French family.",38078.txt,50.1106444,8.6820917,50.082567,2.2486687
"Bonneville, France","Amsterdam, Netherlands",July or August 1933,Train,Joined her family who had settled in Amsterdam after fleeing Germany.,38078.txt,50.082567,2.2486687,52.3730796,4.8924534
"Amsterdam, Netherlands",Suburb of Amsterdam (Naarden),Late 1930s,Not mentioned,Moved after marriage to live in a suburban area.,38078.txt,52.3730796,4.8924534,,
"Naarden, Netherlands","IJmuiden, Netherlands",May 1940,Car,Attempted to flee the German invasion of the Netherlands by boat.,38078.txt,52.2957628,5.1633636,52.4574236,4.6111981
"IJmuiden, Netherlands","Naarden, Netherlands",May 1940,Not mentioned,Failed escape attempt; returned home.,38078.txt,52.4574236,4.6111981,52.2957628,5.1633636
"Naarden, Netherlands","Amsterdam, Netherlands",1941,Not mentioned,Forced by German orders for Jews to move from suburbs into Amsterdam.,38078.txt,52.2957628,5.1633636,52.3730796,4.8924534
"Amsterdam, Netherlands","Dordrecht, Netherlands",1942,Not mentioned,Went into hiding separately from her children to avoid Nazi persecution.,38078.txt,52.3730796,4.8924534,51.7689546,4.6867891
"Dordrecht, Netherlands","Westerbork Transit Camp, Netherlands","February 24, 1944",Train,Voluntarily joined her children who had been captured and sent to Westerbork.,38078.txt,51.7689546,4.6867891,,
"Westerbork Transit Camp, Netherlands","Bergen-Belsen Concentration Camp, Germany","April 4 or 7, 1944",Train,Deported from Westerbork to Bergen-Belsen as part of Nazi deportations.,38078.txt,,,,
"Bergen-Belsen Concentration Camp, Germany","Biberach, Germany",February 1945,Train,Selected for a prisoner exchange due to holding foreign (Paraguayan) passports; taken off the train before reaching Switzerland and interned in Biberach.,38078.txt,,,48.0984413,9.7899938
"Biberach, Germany","Frankfurt am Main, Germany","June 21 or 22, 1945",Jeep,"Brother Hans, serving as a GI, came to pick her up after liberation.",38078.txt,48.0984413,9.7899938,50.1106444,8.6820917
"Frankfurt am Main, Germany","Amsterdam, Netherlands",October 1945,Open truck (displaced persons transport),Returned to Amsterdam to reunite with her mother and sister after the war.,38078.txt,50.1106444,8.6820917,52.3730796,4.8924534
"Amsterdam, Netherlands","Havana, Cuba",March 1946,Ship (the Macalan),Reunited with her husband who had fled to Cuba earlier.,38078.txt,52.3730796,4.8924534,,
"Havana, Cuba","New York City, United States",March 1949,Airplane,Immigrated to the United States to settle permanently.,38078.txt,,,40.7127281,-74.0060152
Wolbrom,Plaszow,Spring or Summer 1941,Truck,Captured by German soldiers and forcibly taken to Plaszow labor camp,38093.txt,50.3848386,19.7598844,,
Plaszow,Wolbrom,"Shortly after arrival in Plaszow, 1941","On foot, escaped",Escaped from Plaszow labor camp with other boys,38093.txt,,,50.3848386,19.7598844
Wolbrom,Rozwadow (Stalowa Wola),First week of September 1942,Train (cattle cars),Deportation of Jews from Wolbrom,38093.txt,50.3848386,19.7598844,,
Rozwadow (Stalowa Wola),Tarnow,Late 1942 (close to winter),Truck,Transferred to hospital in Tarnow due to injuries,38093.txt,,,53.7784289,12.017412
Tarnow hospital,Tarnow Ghetto A,Late 1942,"On foot, under guard",Discharged from hospital and moved to Ghetto A,38093.txt,,,,
Tarnow Ghetto A,Tarnow Ghetto B,Late 1942 or early 1943,"On foot, under guard",Moved to working ghetto (Ghetto B) from Ghetto A,38093.txt,,,,
Tarnow Ghetto B,Rymanow,Early 1943,Truck,Transferred to labor camp in Rymanow,38093.txt,,,49.576131,21.8676433
Rymanow,Szebnie,1943,On foot (march),Transferred to Szebnie detention camp,38093.txt,49.576131,21.8676433,,
Szebnie,Auschwitz-Birkenau,Late 1943,Train (cattle cars),Transferred to Auschwitz concentration camp,38093.txt,,,50.0346203,19.1807846
Auschwitz-Birkenau,Fürstengrube,Late 1943 or early 1944,On foot (march),Volunteered for coal mine labor to escape conditions in Auschwitz,38093.txt,50.0346203,19.1807846,48.9735673,12.2615218
Fürstengrube,Dora,Winter 1944-1945,"On foot (death march), then train",Evacuation due to advancing Russian army,38093.txt,48.9735673,12.2615218,33.7286935,-87.0904188
Dora,Nordhausen,Early 1945,On foot,Transferred to Nordhausen labor camp,38093.txt,33.7286935,-87.0904188,51.5051574,10.7925317
Nordhausen,Halle prison,Early 1945,"On foot, under guard by Hitler Youth","Evacuated after bombing raids, transferred to prison in Halle",38093.txt,51.5051574,10.7925317,,
Halle prison,Theresienstadt,Spring 1945,Train (cattle cars),Transferred to Theresienstadt concentration camp,38093.txt,,,50.510716,14.149717
Theresienstadt,Prague,May 1945 (after liberation),Not specified,Left Theresienstadt after liberation by Russian army,38093.txt,50.510716,14.149717,50.0596288,14.4464593
Prague,Linz,Mid-1945,Not specified,Searching for surviving family members,38093.txt,50.0596288,14.4464593,48.3059078,14.286198
Linz,Poland (Czestochowa),Mid-1945,Not specified,Attempted to find surviving family members in Poland,38093.txt,48.3059078,14.286198,50.8089997,19.1244089
Czestochowa,Wroclaw (Breslau),Mid-1945,Not specified,Searching for surviving family members,38093.txt,50.8120466,19.113213,51.1134658,17.0365781
Wroclaw (Breslau),Linz,Mid-1945,Not specified,Returning after finding no surviving family in Poland,38093.txt,51.1134658,17.0365781,48.3059078,14.286198
Linz,Munich,Mid-1945,Not specified,Searching for brother who survived,38093.txt,48.3059078,14.286198,48.1371079,11.5753822
Munich,Weilheim,Mid-1945,Not specified,Reunited with brother Icek (Leon) Secemski,38093.txt,48.1371079,11.5753822,47.6582006,8.2413047
Germany,"Montreal, Canada",January 1948,Ship,Emigrated due to Berlin blockade and desire to leave Europe,38093.txt,,,45.5031824,-73.5698065
"Montreal, Canada","New York, USA",Late 1940s,Not specified,Moved to New York after marriage,38093.txt,45.5031824,-73.5698065,40.7127281,-74.0060152
New York,St. Louis,Post-war period (late 1940s or early 1950s),Not specified,Moved for employment as a fashion designer,38093.txt,40.7127281,-74.0060152,38.6280278,-90.1910154
St. Louis,Chicago,Post-war period (1950s or later),Not specified,Moved for employment opportunities,38093.txt,38.6280278,-90.1910154,41.8755616,-87.6244212
"Nuremberg, Germany",Czechoslovakia,1937,,To attend hotel training school,39048.txt,49.453872,11.077298,48.257918,14.5007688
"Nuremberg, Germany",Luxembourg,1938,,Practical experience in catering after hotel training,39048.txt,49.453872,11.077298,,
"Nuremberg, Germany",England,July 1939,"Steamer up the Rhine to Rotterdam, then ferry from Hoek of Holland to Harwich",Emigration as agricultural trainee due to Nazi persecution,39048.txt,49.453872,11.077298,52.5310214,-1.2649062
"London, England","Lockington, near Loughborough, England",Summer 1939,Train,Sent by Jewish Refugee Committee to work as farm trainee,39048.txt,,,,
"Lockington, England","York, England",June 1940,,Internment as enemy alien,39048.txt,53.897125,-0.4878622,,
"York, England","Douglas, Isle of Man",June 1940,Boat from Liverpool,Transferred to internment camp,39048.txt,,,54.149774,-4.4779021
"Douglas, Isle of Man","Liverpool, England",July 1940,Boat,To board ship for internment in Australia,39048.txt,54.149774,-4.4779021,53.4071991,-2.99168
"Liverpool, England","Sydney, Australia",July - September 1940,Ship (Dunera),"Internment as enemy alien, transported overseas",39048.txt,53.4071991,-2.99168,-33.8698439,151.2082848
"Sydney, Australia","Hay, New South Wales, Australia",September 1940,Train,Transferred to internment camp,39048.txt,-33.8698439,151.2082848,-34.1573005,144.890393
"Hay, New South Wales, Australia","Orange, New South Wales, Australia",1941,Train,Transferred to another internment camp,39048.txt,-34.1573005,144.890393,-33.2820463,149.0971567
"Orange, New South Wales, Australia","Tatura, Victoria, Australia",1941,Train,Transferred to another internment camp,39048.txt,-33.2820463,149.0971567,-36.439972,145.2329614
"Tatura, Victoria, Australia","Liverpool, England",July or August 1942,Ship,Return to England after internment ended,39048.txt,-36.439972,145.2329614,53.4071991,-2.99168
"Liverpool, England","London, England",1942,Train,Return to civilian life after internment,39048.txt,53.4071991,-2.99168,,
"Pécs, Hungary",Friend's farm near Pécs,"Shortly after March 19, 1944",Not mentioned,Attempted hiding from German occupation,39069.txt,46.0765092,18.2280317,,
Friend's farm near Pécs,"Pécs, Hungary",About one week after arrival,Not mentioned,Discovered by Hungarian authorities and forced to return,39069.txt,,,46.0765092,18.2280317
"Pécs, Hungary",Another friend's place (unspecified location),Shortly after returning from first hiding,Not mentioned,Second attempt at hiding,39069.txt,46.0765092,18.2280317,,
Second friend's place,"Pécs, Hungary",Shortly after arrival,Not mentioned,Discovered again and forced to return,39069.txt,,,46.0765092,18.2280317
"Pécs, Hungary",Ghetto in outskirts of Pécs,Late May or early June 1944,Not mentioned,Forced relocation of Jewish population,39069.txt,46.0765092,18.2280317,,
Ghetto in outskirts of Pécs,Barn near Pécs,Late June or early July 1944,Not mentioned,Preparation for deportation,39069.txt,,,,
Barn near Pécs,Auschwitz concentration camp,"July 4, 1944",Cattle train,Deportation to concentration camp,39069.txt,,,50.0389061,19.1712984
Auschwitz concentration camp,Bergen-Belsen concentration camp,October 1944,Cattle train,Transfer due to approaching Russian front,39069.txt,50.0389061,19.1712984,,
Bergen-Belsen concentration camp,Duderstadt labor camp,November 1944,Cattle train,Selected for forced labor in munitions factory,39069.txt,,,,
Duderstadt labor camp,Theresienstadt concentration camp,April 1945,Cattle train,Evacuation due to Allied advance,39069.txt,,,52.5754089,14.2386437
Theresienstadt concentration camp,"Budapest, Hungary",Late May or early June 1945,Coal train,Returning home after liberation,39069.txt,52.5754089,14.2386437,47.4978789,19.0402383
"Budapest, Hungary","Pécs, Hungary",July 1945,Not mentioned,Returning to hometown after liberation,39069.txt,47.4978789,19.0402383,46.0765092,18.2280317
"Pécs, Hungary","Sydney, Australia",March 1947,Ship,Migration to join uncle in Australia,39069.txt,46.0765092,18.2280317,-33.8698439,151.2082848
"Sydney, Australia","Adelaide, Australia",1964,Not mentioned,Husband's appointment at Elder Conservatorium,39069.txt,-33.8698439,151.2082848,-34.9281805,138.5999312
"Adelaide, Australia","Sydney, Australia",1974,Not mentioned,Husband's relocation,39069.txt,-34.9281805,138.5999312,-33.8698439,151.2082848
"Sydney, Australia","Adelaide, Australia",1974,Not mentioned,Return to Adelaide after separation,39069.txt,-33.8698439,151.2082848,-34.9281805,138.5999312
"Adelaide, Australia","Auschwitz, Poland",1992,Not mentioned,Visit to Auschwitz with son,39069.txt,-34.9281805,138.5999312,50.0382443,19.2214053
"Paris, France","Lublin, Poland",1929,Not mentioned,Visiting mother's family,39237.txt,,,51.2181945,22.5546776
"Paris, France","Les Touches, France",Early 1940,Train,Evacuation of women and children from Paris due to German bombing,39237.txt,,,47.4423506,-1.4313813
"Les Touches, France","Paris, France",Early 1940,Not mentioned,Returning to Paris to work at Renault factory,39237.txt,47.4423506,-1.4313813,,
"Paris, France","Marseille, France",June 1942,"Walking, occasional train rides, hiding in a train water tank",Fleeing Paris to avoid wearing the yellow star and persecution,39237.txt,,,43.2961743,5.3699525
"Marseille, France","Casablanca, Morocco",July or August 1942,Ship,Joining the French Marines to reach family in Casablanca,39237.txt,43.2961743,5.3699525,33.5945144,-7.6200284
"Casablanca, Morocco","Marrakesh, Morocco",Late 1942,Not mentioned,Military training with the French Marines,39237.txt,33.5945144,-7.6200284,31.6258257,-7.9891608
"Marrakesh, Morocco","Corsica, France",Early 1944,Ship,Military deployment to liberate Corsica,39237.txt,31.6258257,-7.9891608,42.1880896,9.0684138
"Corsica, France","Elba, Italy",1944,Landing Ship Transport (LST),Military operation to liberate Elba from Italian forces,39237.txt,42.1880896,9.0684138,42.7902379,10.3402239
"Elba, Italy","Corsica, France",1944,Landing Ship Transport (LST),Returning after successful military operation,39237.txt,42.7902379,10.3402239,42.1880896,9.0684138
"Corsica, France","Toulon, France",August 1944,Ship and Landing Ship Transport (LST),Military operation to liberate Toulon,39237.txt,42.1880896,9.0684138,43.1257311,5.9304919
"Toulon, France","Mulhouse, France",Late 1944 - January 1945,"Military transport, walking","Advancing northward, liberating towns from German occupation",39237.txt,43.1257311,5.9304919,47.7467233,7.3389937
"Mulhouse, France","Montpellier, France",January 1945,Military medical transport,Evacuated after being wounded in combat,39237.txt,47.7467233,7.3389937,43.6112422,3.8767337
"Montpellier, France","Spanish border area, France",Early 1945,Military medical transport,Further medical recovery after injury,39237.txt,43.6112422,3.8767337,,
"Spanish border area, France","Mulhouse, France",Early 1945,Military transport,Rejoining regiment after recovery,39237.txt,,,47.7467233,7.3389937
"Mulhouse, France","Paris, France",1945,Train,"Returning to Paris after war, avoiding deployment to Vietnam",39237.txt,47.7467233,7.3389937,,
"Paris, France","Marseille area, France",1945,Train,Locating and rescuing two cousins hidden in a convent,39237.txt,,,,
"Marseille area, France","Paris, France",1945,Train,Returning to Paris after locating cousins,39237.txt,,,,
"Paris, France","Brooklyn, New York, USA",1947,Not mentioned (likely ship),Immigrating to join aunt and start a new life,39237.txt,,,40.6526006,-73.9497211
"Brooklyn, New York, USA","Florida, USA",After 1972,Not mentioned,Relocating for work at Loehmann's Department Store,39237.txt,40.6526006,-73.9497211,27.7567667,-81.4639835
"Berlin, Germany","Antwerp, Belgium",1937,Not mentioned,To attend a French school due to lack of educational opportunities in Germany,39358.txt,52.510885,13.3989367,51.2211097,4.3997081
"Antwerp, Belgium","Berlin, Germany",1938,Not mentioned,Returned home after completing one year of schooling,39358.txt,51.2211097,4.3997081,52.510885,13.3989367
"Berlin, Germany","London, England",February 1939,Not mentioned,To escape Nazi persecution; obtained temporary visa for England,39358.txt,52.510885,13.3989367,,
"Berlin, Germany",Belgium,"April 20, 1939",Not mentioned,Mother and sister took a vacation before joining narrator in England,39358.txt,52.510885,13.3989367,50.6402809,4.6667145
Belgium,"London, England",Mid-1939,Not mentioned,Mother and sister joined narrator in England after vacation,39358.txt,50.6402809,4.6667145,,
